Date,Buy,Sell
2023-05-22,0.2133,0.2261
2023-05-19,0.2128,0.2256
2023-05-18,0.214,0.2268
2023-05-17,0.2157,0.2285
2023-05-16,0.2176,0.2304
2023-05-15,0.2173,0.2301
2023-05-12,0.2188,0.2316
2023-05-11,0.2191,0.2319
2023-05-10,0.2179,0.2307
2023-05-09,0.2184,0.2312
2023-05-08,0.2179,0.2307
2023-05-05,0.2193,0.2321
2023-05-04,0.2185,0.2313
2023-05-03,0.2172,0.23
2023-05-02,0.2145,0.2273
2023-04-28,0.2173,0.2301
2023-04-27,0.2202,0.233
2023-04-26,0.2209,0.2337
2023-04-25,0.2195,0.2323
2023-04-24,0.219,0.2318
2023-04-21,0.2194,0.2322
2023-04-20,0.2181,0.2309
2023-04-19,0.2175,0.2303
2023-04-18,0.2181,0.2309
2023-04-17,0.2182,0.231
2023-04-14,0.2211,0.2339
2023-04-13,0.22,0.2328
2023-04-12,0.2186,0.2314
2023-04-11,0.2196,0.2324
2023-04-10,0.2212,0.234
2023-04-07,0.2216,0.2344
2023-04-06,0.223,0.2358
2023-03-31,0.2195,0.2323
2023-03-30,0.2207,0.2335
2023-03-29,0.2215,0.2343
2023-03-28,0.2223,0.2351
2023-03-27,0.2227,0.2355
2023-03-25,0.2238,0.2366
2023-03-24,0.2237,0.2365
2023-03-23,0.2226,0.2354
2023-03-22,0.2209,0.2337
2023-03-21,0.2225,0.2353
2023-03-20,0.2242,0.237
2023-03-17,0.2204,0.2332
2023-03-16,0.2207,0.2335
2023-03-15,0.2176,0.2304
2023-03-14,0.22,0.2328
2023-03-13,0.2187,0.2315
2023-03-10,0.2171,0.2299
2023-03-09,0.216,0.2288
2023-03-08,0.2147,0.2275
2023-03-07,0.2161,0.2289
2023-03-06,0.2161,0.2289
2023-03-03,0.2154,0.2282
2023-03-02,0.2147,0.2275
2023-03-01,0.2156,0.2284
2023-02-24,0.2168,0.2296
2023-02-23,0.2161,0.2289
2023-02-22,0.2173,0.2301
2023-02-21,0.2166,0.2294
2023-02-20,0.2173,0.2301
2023-02-18,0.2179,0.2307
2023-02-17,0.2162,0.229
2023-02-16,0.2171,0.2299
2023-02-15,0.2181,0.2309
2023-02-14,0.2195,0.2323
2023-02-13,0.2195,0.2323
2023-02-10,0.222,0.2348
2023-02-09,0.2201,0.2329
2023-02-08,0.2203,0.2331
2023-02-07,0.218,0.2308
2023-02-06,0.2181,0.2309
2023-02-04,0.2195,0.2323
2023-02-03,0.2218,0.2346
2023-02-02,0.2215,0.2343
2023-02-01,0.2208,0.2336
2023-01-31,0.2216,0.2344
2023-01-30,0.2229,0.2357
2023-01-19,0.2277,0.2405
2023-01-18,0.2237,0.2365
2023-01-17,0.2262,0.239
2023-01-16,0.2272,0.24
2023-01-13,0.2275,0.2403
2023-01-12,0.2221,0.2349
2023-01-11,0.2205,0.2333
2023-01-10,0.2211,0.2339
2023-01-09,0.2215,0.2343
2023-01-07,0.2231,0.2359
2023-01-06,0.2195,0.2323
2023-01-05,0.2226,0.2354
2023-01-04,0.2265,0.2393
2023-01-03,0.2266,0.2394
2022-12-30,0.2231,0.2359
2022-12-29,0.2204,0.2332
2022-12-28,0.2202,0.233
2022-12-27,0.2217,0.2345
2022-12-26,0.2221,0.2349
2022-12-23,0.2225,0.2353
2022-12-22,0.2232,0.236
2022-12-21,0.2239,0.2367
2022-12-20,0.2225,0.2353
2022-12-19,0.2171,0.2299
2022-12-16,0.2145,0.2273
2022-12-15,0.2162,0.229
